GeneSymbol	VCaP_R1881-33	VCaP_R1881-13	VCaP_Dox-13	VCaP_Dox-32	VCaP_Vehicle-31	VCaP_Vehicle-13
TAS1R3	1.505522732	2.044553934	3.361669843	2.590425401	4.84115625	5.852883006
DVL1	134.2703237	136.5678577	155.2057108	142.1325516	175.7080371	141.0544804
MIR6808	0.0	0.0	0.0	0.0	0.0	0.0
MXRA8	21.80219956	19.98655785	26.47961476	26.24509946	37.56218554	29.211207
AURKAIP1	126.2408691	118.1668723	112.6417987	116.0237903	85.54150195	75.98106302
RP5-890O3.3	0.0	0.0	0.0	0.06816909	0.0	0.0
CCNL2	72.09781083	96.30266287	116.7792385	90.05136724	70.71546093	98.43485055
RP4-758J18.2	43.43711882	42.47665113	36.92665028	41.24229915	30.94882031	31.33952809
MRPL20	124.4565458	129.8917632	106.435639	107.1618087	77.54494921	85.45209188
RN7SL657P	0.0	0.0	0.0	0.0	0.0	0.0
RP4-758J18.13	1.505522732	2.753888973	3.309951845	2.590425401	3.328294922	3.990602049
ANKRD65	4.014727285	3.922205507	5.378671749	4.840005355	8.644921874	6.75741947
RP4-758J18.7	1.170962125	1.293493305	1.913565911	1.976903596	3.285070312	2.447569257
TMEM88B	0.0	0.0	0.0	0.06816909	0.043224609	0.0
RP4-758J18.10	2.063123744	2.294907477	1.344667937	0.954367253	1.901882812	1.915488984
VWA1	233.7463442	282.2318941	193.8907729	191.2824652	162.4813066	137.2235025
ATAD3C	0.669121214	0.751060629	1.551539928	1.227043611	2.636701172	1.59624082
ATAD3B	23.02892179	34.79914248	37.65070224	31.42595026	21.13683398	25.32702101
ATAD3A	57.87898503	75.48159321	71.26740067	62.98823871	46.03420898	47.56797643
TMEM240	2.230404047	2.044553934	3.309951845	2.931270849	3.025722656	3.618145858
SSU72	235.5306674	231.3266737	199.3211627	196.7359923	186.4277402	163.7743081
RP5-832C2.5	1.059441923	0.83451181	0.258589988	0.613521806	0.561919922	0.478872246
AL645728.1	0.0	0.0	0.0	0.0	0.0	0.0
RP11-345P4.11	0.0	0.0	0.0	0.0	0.0	0.0
Metazoa_SRP	0.0	0.0	0.0	0.0	0.0	0.0
C1orf233	40.03575265	32.67113736	44.83950391	43.42371002	61.37894531	37.24561913
RP11-345P4.9	7.471853559	6.384015346	5.99928772	6.544232593	4.10633789	3.990602049
MIB2	28.2146112	33.00494209	49.80443167	43.15103366	41.79819726	34.47880171
MMP23B	0.0	0.0	0.0	0.06816909	0.129673828	0.0
CDK11B	19.96211622	20.82106966	21.462969	20.65523412	14.52346875	13.03596669
RP11-345P4.10	0.0	0.0	0.051717998	0.0	0.043224609	0.053208027
SLC35E2B	156.4070838	142.6597939	138.0870536	121.4091484	153.8363848	143.0231774
RP11-345P4.7	0.724881315	0.751060629	1.396385935	0.681690895	1.080615234	1.330200683
RP11-345P4.6	0.167280304	0.417255905	0.362025983	0.272676358	0.432246094	0.266040137
MMP23A	0.0	0.0	0.0	0.0	0.043224609	0.0
CDK11A	2.230404047	2.128005115	2.120437901	1.908734506	1.512861328	1.543032792
RP1-283E3.8	8.029454571	7.301978337	6.775057684	7.907614383	8.472023437	7.395915798
RP1-283E3.4	10.14833842	8.762374005	9.464393558	10.70254705	11.80031836	12.98275867
SLC35E2	12.76906317	10.9738303	9.20580357	10.90705432	12.88093359	10.37556533
NADK	97.18985637	106.0664511	106.797665	101.6401125	76.89658007	75.71502288
GNB1	1168.731721	1135.395043	853.1400882	928.3948301	859.3052343	841.4849521
RP1-140A9.1	1.617042934	1.126590943	1.086077949	1.022536343	1.772208984	0.904536464
CALML6	0.055760101	0.250353543	0.362025983	0.545352716	0.259347656	0.744912383
TMEM52	4.6838485	4.130833459	5.99928772	4.499159908	7.650755859	3.990602049
CFAP74	0.0	0.04172559	0.155153993	0.272676358	0.129673828	0.106416055
RP11-547D24.1	0.0	0.0	0.0	0.0	0.0	0.0
GABRD	0.836401518	0.333804724	0.465461978	0.613521806	1.210289062	0.585288301
RP11-547D24.3	0.055760101	0.0	0.103435995	0.0	0.043224609	0.0
PRKCZ	34.01366172	36.76024523	27.35882072	31.221443	28.83081445	26.23155747
RP5-892K4.1	0.055760101	0.083451181	0.051717998	0.0	0.0	0.159624082
RP11-181G12.2	1.39400253	1.835925982	2.741053872	1.499719969	2.161230469	2.075113066
FAAP20	78.39870227	74.6470814	74.62907052	77.91726931	73.26571288	56.0812608
RP11-181G12.4	0.0	0.0	0.0	0.0	0.0	0.053208027
AL590822.1	0.0	0.0	0.0	0.0	0.0	0.0
SKI	157.2434853	163.439138	139.4834395	126.453661	152.928668	135.8933018
MORN1	13.77274499	10.64002558	14.48103932	13.90649426	11.9732168	10.9076456
RP4-713A8.1	0.0	0.0	0.0	0.0	0.0	0.159624082
RP4-740C4.5	2.174643946	1.877651572	2.275591894	2.931270849	2.809599609	3.192481639
RP4-740C4.7	0.0	0.04172559	0.362025983	0.136338179	0.086449219	0.159624082
RER1	157.9126066	156.5544156	125.0024002	153.107775	95.43993749	95.6148251
PEX10	223.4307255	168.8634648	48.20117375	55.96682249	66.04720312	47.30193629
PLCH2	1.561282833	0.584158267	1.758411918	2.385918133	2.896048828	2.926441503
RP3-395M20.2	0.055760101	0.0	0.20687199	0.06816909	0.086449219	0.053208027
RP3-395M20.3	0.167280304	0.04172559	0.103435995	0.06816909	0.0	0.053208027
PANK4	38.75327032	38.05373854	34.65105838	35.92511017	28.48501758	24.90135679
HES5	0.0	0.0	0.0	0.0	0.0	0.053208027
RP3-395M20.12	1.728563137	2.670437792	0.930923957	1.022536343	0.518695312	0.744912383
RP3-395M20.8	5.018409107	3.504949602	2.844489867	4.090145371	5.748873046	3.298897694
TNFRSF14	37.7495885	48.48513616	46.54619783	36.4022938	41.62529882	39.48035627
RP3-395M20.7	0.167280304	0.083451181	0.155153993	0.06816909	0.216123047	0.0
RP3-395M20.9	0.223040405	0.083451181	0.465461978	0.06816909	0.129673828	0.106416055
FAM213B	45.38872237	54.9108771	43.18452798	44.99159908	46.50967968	42.08754961
MMEL1	4.628088398	3.296321649	2.430745887	2.658594491	2.334128906	2.39436123
RP13-436F16.1	0.0	0.0	0.0	0.0	0.0	0.0
TTC34	1.449762631	1.502121258	4.49946579	2.72676358	3.846990234	5.693258924
RP11-740P5.2	0.0	0.0	0.0	0.0	0.0	0.0
RP11-740P5.3	0.111520202	0.083451181	0.0	0.0	0.0	0.0
ACTRT2	0.0	0.0	0.0	0.0	0.0	0.0
LINC00982	0.0	0.083451181	0.0	0.0	0.0	0.053208027
PRDM16	0.724881315	1.335218896	0.827487961	0.272676358	0.345796875	0.212832109
RP1-163G9.2	0.055760101	0.0	0.051717998	0.06816909	0.0	0.106416055
RP11-193J6.1	0.0	0.0	0.0	0.0	0.0	0.0
RP11-22L13.1	0.0	0.0	0.0	0.0	0.0	0.0
ARHGEF16	64.17987646	76.64990975	52.85579353	49.14991354	44.08910156	44.5883269
RP11-168F9.2	0.055760101	0.0	0.103435995	0.0	0.043224609	0.053208027
MEGF6	36.41134607	53.36703025	41.78814205	31.15327391	49.44895312	39.42714825
MIR551A	0.0	0.0	0.0	0.0	0.0	0.0
RP11-46F15.2	0.055760101	0.250353543	0.362025983	0.409014537	0.129673828	0.053208027
TPRG1L	61.55915171	58.37410111	58.49305527	58.14823335	40.89048047	40.59772485
WRAP73	22.58284098	21.32177675	27.61741071	23.72284315	20.01299414	18.72922562
TP73	7.917934368	8.094764557	12.41231942	10.08902525	8.688146484	5.480426814
RP5-1092A11.5	0.557601012	0.8762374	1.70669392	2.522256312	1.815433594	2.128321093
RP5-1092A11.2	0.0	0.083451181	0.0	0.0	0.086449219	0.0
TP73-AS1	56.76378301	64.50776291	50.73535563	51.60400076	46.38000586	40.65093287
CCDC27	0.334560607	0.333804724	0.775769964	1.36338179	1.339962891	1.59624082
SMIM1	4.405047994	5.132247631	7.49910965	11.38423795	4.322460937	2.287945175
LRRC47	112.2450837	120.9207613	120.4512164	123.4542211	112.7730058	106.8417189
RN7SL574P	0.055760101	0.083451181	0.20687199	0.0	0.172898437	0.159624082
RP1-286D6.5	0.892161619	1.376944486	1.861847913	1.636058148	1.426412109	1.170576601
CEP104	99.75482102	85.78781407	72.56035061	88.82432363	74.43277734	60.07186285
DFFB	8.754335886	9.972416129	12.51575542	11.52057613	13.31317969	12.02501418
C1orf174	26.98788897	25.36915902	24.61776685	25.56340857	20.83426172	20.00621827
LINC01134	1.505522732	1.752474801	0.982641954	0.204507269	0.734818359	0.79812041
LINC01346	0.0	0.0	0.0	0.0	0.0	0.0
RP13-614K11.2	0.0	0.0	0.0	0.0	0.0	0.0
EEF1DP6	0.0	0.0	0.0	0.0	0.0	0.0
RP5-1166F10.1	0.0	0.0	0.0	0.0	0.0	0.0
RP1-37J18.1	0.0	0.0	0.0	0.0	0.0	0.0
RP1-37J18.2	0.0	0.0	0.0	0.0	0.0	0.0
AJAP1	0.055760101	0.0	0.0	0.06816909	0.086449219	0.053208027
AL137795.1	0.0	0.0	0.0	0.0	0.0	0.0
RP11-542C10.1	0.0	0.0	0.0	0.0	0.0	0.0
RP1-58B11.1	0.0	0.083451181	0.103435995	0.0	0.0	0.0
MIR4417	0.0	0.0	0.0	0.0	0.0	0.0
RP11-154H17.1	0.0	0.0	0.0	0.0	0.0	0.0
AL356693.1	0.0	0.0	0.0	0.0	0.0	0.0
MIR4689	0.055760101	0.0	0.0	0.06816909	0.043224609	0.0
NPHP4	15.94738894	15.06293817	22.75591894	27.06312854	14.7395918	10.37556533
AL356261.1	0.0	0.0	0.0	0.0	0.0	0.0
KCNAB2	2.453444452	2.879065744	8.223161616	7.430430757	11.28162305	9.417820836
CHD5	7.694893964	6.926448023	8.326597611	7.294092578	8.558472655	9.524236891
RPL22	772.7234822	706.8732287	950.9905396	1015.446757	1062.071877	1065.437539
RP1-120G22.11	0.055760101	0.0	0.051717998	0.0	0.043224609	0.0
RNF207	2.788005059	3.254596059	6.568185693	4.430990818	4.452134765	5.320802732
ICMT	155.2918818	178.5855273	146.6722412	122.4316848	79.40360741	83.43018684
LINC00337	0.111520202	0.125176771	0.051717998	0.204507269	0.129673828	0.053208027
HES3	0.0	0.0	0.0	0.0	0.0	0.0
GPR153	9.590737404	13.89462164	32.37546649	48.80906809	7.434632812	7.076667634
ACOT7	52.86057592	67.72063338	53.5798455	53.58090436	42.10076953	31.65877626
RP1-202O8.3	0.0	0.0	0.0	0.0	0.0	0.0
HES2	28.77221221	26.87128028	4.551183788	4.294652639	4.668257812	4.788722459
ESPN	2.286164149	3.045968106	1.913565911	1.704227238	1.728984375	1.436616738
MIR4252	0.0	0.0	0.0	0.0	0.0	0.0
RP1-202O8.2	0.0	0.04172559	0.103435995	0.0	0.043224609	0.0
TNFRSF25	0.055760101	0.333804724	0.362025983	0.340845448	0.475470703	0.425664219
PLEKHG5	1.617042934	1.961102753	2.172155899	2.181410864	2.679925781	2.447569257
NOL9	51.5223335	53.70083497	60.0445952	59.57978423	56.79713671	57.73070965
RNU6-731P	0.0	0.0	0.0	0.0	0.0	0.0
RP11-58A11.2	0.055760101	0.04172559	0.103435995	0.136338179	0.043224609	0.212832109
TAS1R1	0.055760101	0.083451181	0.051717998	0.06816909	0.086449219	0.159624082
ZBTB48	12.54602277	14.68740786	21.20437901	18.54199235	19.364625	20.0594263
KLHL21	34.23670213	32.75458854	46.54619783	42.60568094	62.11376367	48.36609684
PHF13	21.30035865	17.31612006	23.11794492	23.79101224	28.78758984	23.25190794
THAP3	13.9957854	12.39250038	13.80870536	13.15663428	14.22089648	12.61030248
DNAJC11	77.33926034	88.66687981	81.24897421	76.96290206	64.23176953	62.83868027
RP11-242F24.1	0.0	0.0	0.0	0.0	0.0	0.0
RP11-312B8.1	0.278800506	0.333804724	0.20687199	0.136338179	0.259347656	0.212832109
CAMTA1	36.74590668	32.25388146	32.32374849	30.60792119	24.98382422	24.20965243
RP11-312B8.2	0.0	0.0	0.0	0.0	0.0	0.0
RP11-334N17.1	0.0	0.0	0.0	0.0	0.0	0.0
RNU1-8P	0.0	0.0	0.0	0.0	0.0	0.0
Z98052.1	0.0	0.0	0.0	0.0	0.0	0.0
CAMTA1-IT1	0.055760101	0.0	0.0	0.06816909	0.086449219	0.053208027
RP3-453P22.2	0.0	0.0	0.0	0.0	0.0	0.0
RP4-549F15.1	0.0	0.0	0.0	0.0	0.0	0.0
RP11-338N10.1	0.0	0.04172559	0.0	0.136338179	0.086449219	0.053208027
RP11-338N10.2	0.0	0.083451181	0.103435995	0.272676358	0.129673828	0.159624082
RP11-338N10.3	0.111520202	0.250353543	0.20687199	0.204507269	0.345796875	0.425664219
VAMP3	73.15725276	72.8946066	74.06017254	81.05304743	73.56828515	78.53504833
RP3-467L1.6	0.0	0.083451181	0.310307986	0.06816909	0.259347656	0.425664219
PER3	9.981058112	17.64992478	26.16930678	17.31494874	20.53168945	29.26441503
RP3-467L1.4	0.0	0.0	0.155153993	0.0	0.0	0.053208027
UTS2	0.0	0.0	0.0	0.0	0.0	0.0
TNFRSF9	0.0	0.0	0.0	0.0	0.0	0.0
RP5-892F13.2	0.0	0.0	0.0	0.0	0.0	0.0
PARK7	276.7931423	277.0579209	183.8057634	195.6452869	148.6494316	149.3017247
Y_RNA	0.055760101	0.04172559	0.051717998	0.0	0.0	0.212832109
ERRFI1	413.6841907	496.117271	671.0927367	1020.695777	56.14876757	69.01081144
RP11-431K24.1	0.0	0.04172559	0.103435995	0.0	0.043224609	0.106416055
CTA-215D11.4	0.055760101	0.04172559	0.0	0.0	0.0	0.0
RP11-431K24.2	0.0	0.04172559	0.0	0.0	0.0	0.0
RP11-431K24.3	0.0	0.0	0.0	0.0	0.0	0.0
RNU1-7P	0.0	0.0	0.0	0.0	0.0	0.0
RP11-431K24.4	0.0	0.0	0.0	0.0	0.0	0.0
RNU6-991P	0.0	0.0	0.0	0.0	0.0	0.0
SLC45A1	3.401366172	3.37977283	2.379027889	2.658594491	1.815433594	2.021905038
RERE	647.0402142	641.9899354	487.8558712	487.9543427	592.1339238	512.9785914
RP5-1115A15.1	0.278800506	0.125176771	0.0	0.06816909	0.043224609	0.159624082
SNORA77	0.0	0.04172559	0.0	0.0	0.0	0.0
RP5-1115A15.2	0.0	0.0	0.0	0.0	0.0	0.0
AL096855.1	0.0	0.0	0.0	0.0	0.0	0.0
RPL7P11	0.055760101	0.0	0.0	0.0	0.0	0.053208027
RPL7P7	0.0	0.0	0.0	0.06816909	0.0	0.0
RP4-633I8.3	0.0	0.04172559	0.0	0.0	0.0	0.0
RP4-633I8.4	0.0	0.0	0.0	0.0	0.0	0.0
RPL23AP19	0.0	0.0	0.0	0.0	0.0	0.0
ENO1	1782.761955	1796.620476	1226.957775	1278.511274	927.5568925	925.2343871
MIR6728	0.0	0.0	0.0	0.0	0.0	0.0
ENO1-IT1	0.111520202	0.125176771	0.258589988	0.136338179	0.043224609	0.159624082
ENO1-AS1	0.278800506	0.250353543	0.413743981	0.272676358	0.172898437	0.159624082
RNU6-304P	0.0	0.0	0.103435995	0.06816909	0.043224609	0.0
HMGN2P17	0.278800506	0.375530314	0.568897973	0.681690895	0.605144531	0.159624082
RP3-477M7.5	0.0	0.0	0.0	0.0	0.0	0.0
RP3-477M7.6	0.0	0.0	0.0	0.0	0.0	0.0
CA6	0.0	0.0	0.0	0.0	0.0	0.053208027
RN7SL451P	0.0	0.0	0.0	0.0	0.0	0.0
SLC2A7	0.557601012	1.251767715	0.620615971	0.749859985	0.778042969	0.266040137
SLC2A5	3.457126274	7.427155109	0.568897973	0.818029074	0.345796875	0.372456191
SCARNA16	0.0	0.0	0.0	0.0	0.0	0.0
AL158048.1	0.0	0.0	0.0	0.0	0.0	0.0
GPR157	17.84323238	29.20791335	16.54975923	20.38255776	16.59825	14.63220751
MIR34AHG	0.557601012	0.8762374	1.137795947	1.227043611	1.296738281	1.649448847
MIR34A	0.0	0.0	0.0	0.0	0.0	0.0
RP3-510D11.2	0.278800506	0.208627952	0.568897973	0.340845448	0.950941406	0.744912383
RP3-510D11.4	0.055760101	0.083451181	0.0	0.136338179	0.259347656	0.159624082
H6PD	73.71485377	71.47593653	95.52314154	97.27729073	113.9832949	94.76349666
SPSB1	2.230404047	2.378358658	11.48139546	11.65691431	2.679925781	2.287945175
RNA5SP40	0.0	0.0	0.0	0.0	0.0	0.0
RP13-392I16.1	0.0	0.0	0.0	0.0	0.043224609	0.0
SLC25A33	61.72643201	52.24043931	60.82036516	72.1228967	30.68947265	24.63531665
RP13-15M17.1	0.055760101	0.125176771	0.20687199	0.340845448	0.086449219	0.159624082
TMEM201	38.30718951	42.35147436	56.73464335	55.76231522	35.87642578	28.67912673
PIK3CD	0.278800506	0.500707086	0.362025983	0.886198164	0.778042969	0.851328437
PIK3CD-AS1	0.0	0.0	0.0	0.0	0.0	0.0
RP11-558F24.2	0.0	0.0	0.0	0.0	0.0	0.0
PIK3CD-AS2	0.669121214	0.83451181	1.137795947	0.681690895	1.253513672	2.128321093
CLSTN1	490.0197692	483.5995939	397.5045294	412.013977	434.5802226	372.1369431
MZT1P1	0.0	0.04172559	0.0	0.0	0.0	0.0
AL357140.1	0.0	0.04172559	0.0	0.0	0.0	0.0
CTNNBIP1	45.83480317	40.8493531	55.7002834	77.23557842	40.71758203	29.15799897
RP11-84A14.5	0.0	0.0	0.0	0.0	0.0	0.0
LZIC	27.26668948	28.03959682	28.03115469	30.26707574	31.55396484	28.6259187
RP11-84A14.4	0.0	0.166902362	0.310307986	0.0	0.216123047	0.266040137
NMNAT1	6.412411636	4.923619679	5.947569722	5.862541698	7.737205077	6.810627497
RN7SKP269	0.055760101	0.083451181	0.051717998	0.0	0.043224609	0.053208027
MIR5697	0.0	0.0	0.0	0.0	0.0	0.0
RP11-807G9.2	0.0	0.0	0.0	0.0	0.0	0.0
RBP7	0.278800506	0.458981495	0.310307986	0.545352716	0.389021484	0.532080273
UBE4B	120.7763792	111.9080337	115.6931606	115.6829449	132.6131016	121.3143023
RP11-496H15.2	0.0	0.0	0.0	0.0	0.0	0.0
PGAM1P11	0.0	0.04172559	0.0	0.136338179	0.043224609	0.0
RNU6-828P	0.0	0.04172559	0.0	0.0	0.0	0.053208027
KIF1B	120.107258	115.955416	120.0374724	113.9787177	108.7963418	115.5678353
MIR1273D	0.0	0.0	0.0	0.0	0.0	0.0
RNU6-37P	0.0	0.04172559	0.0	0.0	0.0	0.0
RN7SL731P	0.0	0.0	0.0	0.0	0.0	0.0
PGD	195.0488339	187.8068828	183.1334295	170.627231	177.8692676	173.9902493
RP4-736L20.3	0.0	0.083451181	0.0	0.0	0.0	0.0
APITD1-CORT	0.055760101	0.0	0.0	0.06816909	0.129673828	0.053208027
APITD1	1.059441923	1.126590943	2.068719903	1.976903596	0.950941406	1.330200683
CORT	0.111520202	0.04172559	0.155153993	0.06816909	0.0	0.053208027
DFFA	43.99471984	51.03039718	56.42433537	54.19442616	60.38477929	64.91379333
RP5-1113E3.3	0.0	0.0	0.0	0.0	0.0	0.0
PEX14	27.88005059	26.99645705	26.37617877	31.56228844	25.89154101	20.75113066
RN7SL614P	0.0	0.0	0.0	0.0	0.0	0.0
CASZ1	97.97049778	94.17465776	112.1763368	123.1815447	95.0076914	82.04677813
RP4-734G22.3	0.669121214	1.251767715	2.068719903	1.567889059	0.821267578	1.223784628
HSPE1P24	0.0	0.0	0.0	0.0	0.0	0.0
C1orf127	0.0	0.0	0.051717998	0.0	0.043224609	0.0
CFL1P6	0.0	0.0	0.0	0.06816909	0.0	0.0
AL713997.1	0.0	0.0	0.0	0.0	0.0	0.0
TARDBP	148.9909904	148.5431022	118.6928045	110.7066014	92.97613476	97.79635422
RP4-635E18.9	0.0	0.0	0.0	0.0	0.086449219	0.0
