GeneSymbol	LNCaP_R1881_1	LNCaP_R1881_2	LNCaP_Dox_2	LNCaP_Dox_1	LNCaP_Vehicle_1	LNCaP_Vehicle_2
KCNAB2	15.58667141	15.47269443	15.17128247	15.55377375	32.17051219	34.89410994
CHD5	1.44050104	1.761428768	2.020940067	2.138404159	1.89948758	2.23314146
RPL22	315.1546181	312.1657285	296.6512307	306.7123634	310.9011	339.315138
RP1-120G22.11	0.236332202	0.177410092	0.379519261	0.402748765	0.175675152	0.295712796
RNF207	7.4388374	6.564173394	9.326685849	10.43311088	8.794737291	8.27995829
ICMT	129.847664	130.7765819	113.4477952	112.2901915	134.8306791	136.6295088
LINC00337	0.416394832	0.367492333	0.597742837	0.460284303	0.669761517	0.673001536
HES3	0.0	0.0	0.0	0.0	0.0	0.0
GPR153	2.307052446	2.179609698	11.78407307	11.70848197	1.383441821	1.621321882
ACOT7	41.75202232	41.46327287	38.71096466	41.72285425	47.60796616	50.24058435
RP1-202O8.3	0.0	0.0	0.0	0.0	0.0	0.0
HES2	6.020844189	5.106876212	1.271389526	1.265781834	0.713680304	0.815759437
ESPN	1.125391437	0.988427654	2.590218959	2.867187639	4.326000615	3.874857328
MIR4252	0.0	0.0	0.0	0.0	0.021959394	0.010196993
RP1-202O8.2	0.022507829	0.038016448	0.104367797	0.038357025	0.120776667	0.112166923
TNFRSF25	1.316707982	1.29255924	1.119581821	1.476745473	2.382594247	2.477869291
PLEKHG5	5.007991896	5.246269855	4.193687838	4.238451293	8.026158501	8.708231994
NOL9	46.8275377	47.36849449	45.21023201	44.09140056	49.96860101	50.55669113
RNU6-731P	0.033761743	0.012672149	0.0	0.028767769	0.010979697	0.010196993
RP11-58A11.2	0.270093945	0.139393643	0.218223575	0.163017357	0.186654849	0.142757902
TAS1R1	0.877805321	0.557574574	0.901358246	0.958925632	0.845436668	1.02989629
ZBTB48	29.6765722	26.64953021	32.17374538	34.19528803	27.55903945	28.36803444
KLHL21	75.10862452	72.67477686	63.37022867	64.01787519	93.30546504	96.61650837
PHF13	20.1219989	19.22365065	24.02356925	24.62521023	26.80144036	26.93025843
THAP3	16.17187495	16.06828545	18.0366529	19.41824405	17.41379943	18.59931517
DNAJC11	80.37545645	76.99597981	67.93394779	67.99741656	75.48541682	76.59981117
RP11-242F24.1	0.0	0.0	0.009487982	0.0	0.0	0.0
RP11-312B8.1	1.136645352	1.001099803	0.815966412	0.978104145	1.251685457	1.519351952
CAMTA1	36.86782349	36.06493722	31.51907466	31.59659957	29.44754733	30.70314583
RP11-312B8.2	0.0	0.0	0.0	0.0	0.010979697	0.010196993
RP11-334N17.1	0.0	0.0	0.0	0.0	0.0	0.0
RNU1-8P	0.0	0.0	0.0	0.0	0.0	0.0
Z98052.1	0.0	0.0	0.0	0.0	0.0	0.0
CAMTA1-IT1	0.011253914	0.012672149	0.009487982	0.019178513	0.021959394	0.030590979
RP3-453P22.2	0.0	0.0	0.0	0.0	0.0	0.0
RP4-549F15.1	0.0	0.0	0.037951926	0.0	0.0	0.010196993
RP11-338N10.1	0.022507829	0.012672149	0.085391834	0.038357025	0.076857879	0.030590979
RP11-338N10.2	0.112539144	0.126721494	0.24668752	0.249320664	0.164695455	0.254924824
RP11-338N10.3	0.708996605	0.658951769	0.673646689	0.594533892	0.494086365	0.55063762
VAMP3	95.38817822	94.76233328	94.8513514	93.42812432	75.40855894	75.56991488
RP3-467L1.6	0.641473119	0.760328965	0.882382283	0.920568607	0.669761517	0.571031606
PER3	20.13325281	20.65560354	21.55669405	19.6483862	34.93739583	30.36664506
RP3-467L1.4	0.123793058	0.126721494	0.113855778	0.076714051	0.087837576	0.071378951
UTS2	0.022507829	0.0	0.094879815	0.028767769	0.153715758	0.122363916
TNFRSF9	0.033761743	0.012672149	0.047439908	0.047946282	0.021959394	0.071378951
RP5-892F13.2	0.0	0.0	0.0	0.0	0.010979697	0.0
PARK7	494.5870289	470.7956948	370.5341429	366.5013765	383.3780799	407.0741563
Y_RNA	0.202570459	0.228098689	0.132831741	0.143838845	0.131756364	0.142757902
ERRFI1	266.0425358	273.8324766	1048.365032	1074.859741	34.15783734	32.86490834
RP11-431K24.1	0.045015657	0.114049345	0.512351003	0.393159509	0.010979697	0.061181958
CTA-215D11.4	0.045015657	0.050688598	0.104367797	0.095892563	0.010979697	0.040787972
RP11-431K24.2	0.011253914	0.012672149	0.047439908	0.067124794	0.0	0.0
RP11-431K24.3	0.011253914	0.0	0.0	0.019178513	0.0	0.0
RNU1-7P	0.0	0.0	0.0	0.0	0.0	0.0
RP11-431K24.4	0.0	0.0	0.0	0.0	0.0	0.0
RNU6-991P	0.0	0.0	0.0	0.009589256	0.0	0.0
SLC45A1	1.395485382	1.419280734	6.907250557	7.105638933	1.229726063	1.20324517
RERE	58.98176523	58.53265812	59.28090863	60.42190407	59.4879983	55.64499063
RP5-1115A15.1	0.405140917	0.354820183	0.569278892	0.479462816	0.362330001	0.458864684
SNORA77	0.0	0.0	0.0	0.0	0.010979697	0.0
RP5-1115A15.2	0.0	0.0	0.0	0.009589256	0.0	0.010196993
AL096855.1	0.0	0.0	0.0	0.009589256	0.0	0.010196993
RPL7P11	0.045015657	0.038016448	0.028463945	0.057535538	0.0	0.040787972
RPL7P7	0.033761743	0.012672149	0.066415871	0.047946282	0.10979697	0.050984965
RP4-633I8.3	0.011253914	0.0	0.0	0.009589256	0.010979697	0.010196993
RP4-633I8.4	0.0	0.012672149	0.009487982	0.019178513	0.032939091	0.0
RPL23AP19	0.0	0.0	0.0	0.0	0.010979697	0.0
ENO1	1477.81902	1438.276286	1190.656291	1326.587308	1467.831772	1569.612931
MIR6728	0.033761743	0.0	0.018975963	0.019178513	0.010979697	0.030590979
ENO1-IT1	0.247586116	0.240770839	0.284639446	0.354802484	0.274492425	0.316106782
ENO1-AS1	1.688087156	1.698068021	1.973500159	1.869904982	1.504218488	1.58053391
RNU6-304P	0.011253914	0.025344299	0.028463945	0.086303307	0.087837576	0.071378951
HMGN2P17	0.033761743	0.012672149	0.009487982	0.047946282	0.021959394	0.010196993
RP3-477M7.5	0.0	0.0	0.0	0.0	0.0	0.0
RP3-477M7.6	0.0	0.0	0.0	0.0	0.0	0.0
CA6	0.0	0.0	0.028463945	0.0	0.0	0.0
RN7SL451P	0.0	0.0	0.0	0.0	0.0	0.0
SLC2A7	0.202570459	0.088705046	0.227711557	0.18219587	0.087837576	0.020393986
SLC2A5	0.191316544	0.177410092	0.12334376	0.086303307	0.043918788	0.040787972
SCARNA16	0.0	0.0	0.0	0.0	0.0	0.0
AL158048.1	0.0	0.0	0.0	0.0	0.0	0.0
GPR157	17.21848899	16.79059797	16.1864965	15.95652252	22.58523671	20.68969873
MIR34AHG	10.42112471	10.41650681	13.57730158	15.26609606	17.62241367	16.93720532
MIR34A	0.0	0.0	0.0	0.0	0.0	0.0
RP3-510D11.2	1.350469725	1.546002228	2.220187679	1.937029777	2.195939398	2.243338453
RP3-510D11.4	0.146300887	0.152065793	0.208735594	0.201374383	0.274492425	0.214136852
H6PD	98.55052816	94.02734861	110.3072733	106.996922	96.02842989	92.08904349
SPSB1	7.07871214	6.348746854	21.42386231	21.9306292	3.447624855	3.344613693
RNA5SP40	0.0	0.0	0.0	0.0	0.0	0.0
RP13-392I16.1	0.045015657	0.012672149	0.218223575	0.210963639	0.0	0.0
SLC25A33	113.1243473	115.430609	119.9280866	122.9438553	61.25572952	65.67883171
RP13-15M17.1	1.586801927	1.469969331	1.935548233	1.994565314	0.966213335	0.785168459
TMEM201	26.41293703	24.90077359	30.92133182	33.47609381	28.58015127	29.27556681
PIK3CD	138.1080372	135.4272607	94.46234416	101.0707616	142.0553197	140.708306
PIK3CD-AS1	0.0	0.0	0.0	0.0	0.0	0.0
RP11-558F24.2	0.0	0.0	0.0	0.0	0.0	0.0
PIK3CD-AS2	2.532130734	2.559774181	1.755276584	1.937029777	2.580228793	2.559445235
CLSTN1	196.8084546	190.4370613	172.8710236	187.8727098	276.1393793	279.927851
MZT1P1	0.0	0.0	0.0	0.0	0.0	0.0
AL357140.1	0.022507829	0.0	0.009487982	0.009589256	0.032939091	0.010196993
CTNNBIP1	60.14091841	55.56737516	60.36253852	59.77942389	48.01421495	51.51520847
RP11-84A14.5	0.0	0.0	0.0	0.0	0.0	0.0
LZIC	32.86142997	33.04896566	39.76413061	37.19672526	36.60630977	34.62898812
RP11-84A14.4	0.855297492	0.798345413	0.673646689	0.901390094	0.834456971	0.744380487
NMNAT1	23.00300098	23.84898519	20.30428048	19.11138784	19.65365762	19.16014979
RN7SKP269	0.213824373	0.240770839	0.256175501	0.258909921	0.208614243	0.224333845
MIR5697	0.022507829	0.0	0.009487982	0.0	0.032939091	0.030590979
RP11-807G9.2	0.0	0.0	0.0	0.0	0.0	0.0
RBP7	1.136645352	1.216526343	1.024702006	0.91097935	1.141888487	1.366397058
UBE4B	121.2159117	120.6388624	93.44713014	91.27054165	110.3569345	106.8338953
RP11-496H15.2	0.011253914	0.012672149	0.0	0.0	0.0	0.0
PGAM1P11	0.056269572	0.038016448	0.009487982	0.086303307	0.043918788	0.030590979
RNU6-828P	0.033761743	0.063360747	0.028463945	0.009589256	0.043918788	0.020393986
KIF1B	208.8051273	213.9819149	186.6096208	176.3176559	251.7973911	222.0599159
MIR1273D	0.0	0.0	0.0	0.009589256	0.0	0.0
RNU6-37P	0.033761743	0.038016448	0.028463945	0.019178513	0.010979697	0.010196993
RN7SL731P	0.0	0.0	0.0	0.0	0.0	0.0
PGD	218.7873493	211.6248951	200.395658	209.093734	211.7434565	220.5915489
RP4-736L20.3	0.135046972	0.050688598	0.132831741	0.134249588	0.153715758	0.152954895
APITD1-CORT	0.236332202	0.202754391	0.303615409	0.354802484	0.186654849	0.224333845
APITD1	4.647866636	3.890349868	4.791430675	4.564486008	5.423970314	5.66952809
CORT	0.427648746	0.506885976	0.588254855	0.623301661	0.581923941	0.509849648
